,stud_sentence,stud_field,AVG-W2V_all_scores,AVG-W2V_similarity,AVG-W2V_aimed_sentence,AVG-W2V_aimed_field,AVG-W2V-STOP_all_scores,AVG-W2V-STOP_similarity,AVG-W2V-STOP_aimed_sentence,AVG-W2V-STOP_aimed_field,AVG-W2V-TFIDF_all_scores,AVG-W2V-TFIDF_similarity,AVG-W2V-TFIDF_aimed_sentence,AVG-W2V-TFIDF_aimed_field,AVG-W2V-TFIDF-STOP_all_scores,AVG-W2V-TFIDF-STOP_similarity,AVG-W2V-TFIDF-STOP_aimed_sentence,AVG-W2V-TFIDF-STOP_aimed_field,WMD-W2V_all_scores,WMD-W2V_similarity,WMD-W2V_aimed_sentence,WMD-W2V_aimed_field,SIF-W2V_all_scores,SIF-W2V_similarity,SIF-W2V_aimed_sentence,SIF-W2V_aimed_field,IDStud,IDClass,Category,Accuracy_score,Code,Fieldname
481,concrete can not stand heat,2,"[0.34538424, 0.5560561, 0.38136658, 0.35137558]",0.5560560822486877,Concrete dries out,Field2_en,"[0.37578392, 0.5724128, 0.24203125, 0.34474397]",0.5724127888679504,Concrete dries out,Field2_en,"[0.4146031806118834, 0.510761467890079, 0.29468163012054566, 0.334917234113145]",0.510761467890079,Concrete dries out,Field2_en,"[0.41497653514316085, 0.49310256361769583, 0.24935862346548382, 0.3241051651776248]",0.49310256361769583,Concrete dries out,Field2_en,"[-3.195008993779373, -2.586299453197443, -3.04304060761719, -3.4727616326923365]",-2.586299453197443,Concrete dries out,Field2_en,"[-0.36918436599769244, -0.21234446466314197, -0.46263200377117075, -0.5395235730295259]",-0.21234446466314197,Concrete dries out,Field2_en,14I3F3A1,3A1,Beton,0,c,2
482,drying out the concrete,2,"[0.32685527, 0.86503863, 0.30938736, 0.23223174]",0.8650386333465576,Concrete dries out,Field2_en,"[0.29884946, 0.8545109, 0.24572597, 0.22450007]",0.8545109033584595,Concrete dries out,Field2_en,"[0.34695381652492446, 0.8062605309856629, 0.24111567523327318, 0.21595947999838544]",0.8062605309856629,Concrete dries out,Field2_en,"[0.3418814873475016, 0.8009712462166473, 0.22286312858637583, 0.20985817716814173]",0.8009712462166473,Concrete dries out,Field2_en,"[-3.1710089609594343, -1.349382287067016, -3.1148799792185393, -3.6356381156265734]",-1.349382287067016,Concrete dries out,Field2_en,"[-0.4978191736867162, -0.1132511716840819, -0.5368338962048057, -0.6281994048326149]",-0.1132511716840819,Concrete dries out,Field2_en,14I5F3TT1,3TT1,Beton,2,g,2
483,concrete shrinks,2,"[0.23712553, 0.7028816, 0.34942183, 0.17413981]",0.7028815746307373,Concrete dries out,Field2_en,"[0.23712553, 0.72525334, 0.3297347, 0.17413981]",0.7252533435821533,Concrete dries out,Field2_en,"[0.22609411740519034, 0.6243342991784272, 0.3146612468385386, 0.14057567312771854]",0.6243342991784272,Concrete dries out,Field2_en,"[0.22609411740519034, 0.6195179401074478, 0.29923977321293876, 0.14057567312771854]",0.6195179401074478,Concrete dries out,Field2_en,"[-3.795813587578535, -2.2991790538779364, -3.4967890232371053, -4.066812491850853]",-2.2991790538779364,Concrete dries out,Field2_en,"[-0.5153285817764975, -0.5302947609193452, -0.49292319416657887, -0.5945312278711208]",-0.49292319416657887,Buildings are smaller,Field3_en,16I1F3G2,3G2,Beton,3,g,2
484,Shrink concrete,2,"[0.2236396, 0.6183512, 0.35541573, 0.20726171]",0.6183512210845947,Concrete dries out,Field2_en,"[0.2236396, 0.63735586, 0.36290738, 0.20726171]",0.6373558640480042,Concrete dries out,Field2_en,"[0.21075132681895162, 0.5096995581368657, 0.3578899015088063, 0.18416138178317637]",0.5096995581368657,Concrete dries out,Field2_en,"[0.21075132681895162, 0.5046431605657961, 0.3522859348206998, 0.18416138178317637]",0.5046431605657961,Concrete dries out,Field2_en,"[-3.6900972312204834, -2.3895264526074516, -3.3133863489451203, -3.828512623342037]",-2.3895264526074516,Concrete dries out,Field2_en,"[-0.5038657190817508, -0.5127171688256016, -0.49326475276693504, -0.6003002780200473]",-0.49326475276693504,Buildings are smaller,Field3_en,17I2F3TT1,3TT1,Beton,3,g,2
485,Shrink concrete,2,"[0.2236396, 0.6183512, 0.35541573, 0.20726171]",0.6183512210845947,Concrete dries out,Field2_en,"[0.2236396, 0.63735586, 0.36290738, 0.20726171]",0.6373558640480042,Concrete dries out,Field2_en,"[0.21075132681895162, 0.5096995581368657, 0.3578899015088063, 0.18416138178317637]",0.5096995581368657,Concrete dries out,Field2_en,"[0.21075132681895162, 0.5046431605657961, 0.3522859348206998, 0.18416138178317637]",0.5046431605657961,Concrete dries out,Field2_en,"[-3.6900972312204834, -2.3895264526074516, -3.3133863489451203, -3.828512623342037]",-2.3895264526074516,Concrete dries out,Field2_en,"[-0.5038657190817508, -0.5127171688256016, -0.49326475276693504, -0.6003002780200473]",-0.49326475276693504,Buildings are smaller,Field3_en,17I6FV3D,V3D,Beton,3,g,2
486,buildings are smaller,2,"[0.25649506, 0.26467216, 0.9999999, 0.3620748]",0.9999998807907104,Buildings are smaller,Field3_en,"[0.2528243, 0.23230188, 1.0, 0.3417299]",1.0,Buildings are smaller,Field3_en,"[0.23637088663629913, 0.20846416600772213, 1.0000000000000002, 0.37539657869458787]",1.0000000000000002,Buildings are smaller,Field3_en,"[0.22525893071907568, 0.19496240383443153, 0.9999999999999992, 0.36193832212239535]",0.9999999999999992,Buildings are smaller,Field3_en,"[-3.432471919893541, -3.447914142487556, -0.0, -3.4359312527829147]",-0.0,Buildings are smaller,Field3_en,"[-0.5422637251836678, -0.526662276660752, 1.0000000000000004, -0.745578605439449]",1.0000000000000004,Buildings are smaller,Field3_en,19I4F3GA1,3GA1,Beton,3,g,2
487,Creates concrete shrinks,2,"[0.22006033, 0.6273303, 0.33670983, 0.15847258]",0.6273303031921387,Concrete dries out,Field2_en,"[0.22006033, 0.64933085, 0.29834405, 0.15847258]",0.6493308544158936,Concrete dries out,Field2_en,"[0.21337193222151474, 0.6048439417906827, 0.30449896743389987, 0.13599814804196086]",0.6048439417906827,Concrete dries out,Field2_en,"[0.21337193222151474, 0.600976874807272, 0.2847590131172632, 0.13599814804196086]",0.600976874807272,Concrete dries out,Field2_en,"[-3.8180463158240254, -2.316758694408423, -3.4543534718377416, -4.1045720866766375]",-2.316758694408423,Concrete dries out,Field2_en,"[-0.5137567092757039, -0.5663932876644096, -0.5041151035302949, -0.5882518608963683]",-0.5041151035302949,Buildings are smaller,Field3_en,19I5F3AB,3AB,Beton,3,g,2
488,Therefore dry concrete,2,"[0.29041958, 0.7235299, 0.30838522, 0.20697275]",0.7235298752784729,Concrete dries out,Field2_en,"[0.29041958, 0.7238335, 0.2733273, 0.20697275]",0.7238335013389587,Concrete dries out,Field2_en,"[0.28511565872376843, 0.6822406153481166, 0.28666144248934605, 0.20903625036085335]",0.6822406153481166,Concrete dries out,Field2_en,"[0.28511565872376843, 0.6733840490149996, 0.27145055767571447, 0.20903625036085335]",0.6733840490149996,Concrete dries out,Field2_en,"[-3.3158394567454814, -1.8706249323223079, -3.1738210599146655, -3.709834370829366]",-1.8706249323223079,Concrete dries out,Field2_en,"[-0.4680205521710315, -0.23368177394739012, -0.4797468383989529, -0.6013495614849999]",-0.23368177394739012,Concrete dries out,Field2_en,20I6FG3,G3,Beton,2,g,2
489,concrete dries out,2,"[0.24110739, 1.0000001, 0.26467216, 0.22147515]",1.0000001192092896,Concrete dries out,Field2_en,"[0.23186803, 1.0, 0.23230188, 0.20987397]",1.0,Concrete dries out,Field2_en,"[0.25818132899991947, 1.0000000000000004, 0.20846416600772213, 0.17853381174095495]",1.0000000000000004,Concrete dries out,Field2_en,"[0.2544551465565095, 1.0000000000000002, 0.19496240383443153, 0.17336441246583828]",1.0000000000000002,Concrete dries out,Field2_en,"[-3.5795249261427617, -0.0, -3.447914142487556, -3.8399292520386035]",-0.0,Concrete dries out,Field2_en,"[-0.6247919965128632, 0.9999999999999998, -0.6399285607045381, -0.7406185349585184]",0.9999999999999998,Concrete dries out,Field2_en,2I3O2VB,2VB,Beton,2,g,2
490,the concrete is hot,2,"[0.35959393, 0.59846985, 0.32632923, 0.21573599]",0.5984698534011841,Concrete dries out,Field2_en,"[0.31854147, 0.6317917, 0.15858519, 0.24942483]",0.6317917108535767,Concrete dries out,Field2_en,"[0.31978314337385394, 0.5588587532224828, 0.2116200920001197, 0.24202194372995878]",0.5588587532224828,Concrete dries out,Field2_en,"[0.31176075187381525, 0.5471206557072903, 0.18221414456155838, 0.24351840586122173]",0.5471206557072903,Concrete dries out,Field2_en,"[-3.09795956459713, -2.2701720961590004, -2.8989465186586933, -3.5640895537347794]",-2.2701720961590004,Concrete dries out,Field2_en,"[-0.4832558962216504, -0.44352432518759993, -0.5324046600709536, -0.5787519832183897]",-0.44352432518759993,Concrete dries out,Field2_en,2I5O3TT1,3TT1,Beton,0,c,2
491,shrink concrete buildings,2,"[0.2919688, 0.55790967, 0.6356981, 0.34406978]",0.6356980800628662,Buildings are smaller,Field3_en,"[0.2919688, 0.5732072, 0.69152117, 0.34406978]",0.691521167755127,Buildings are smaller,Field3_en,"[0.2628446318991028, 0.494972735289703, 0.598113130803919, 0.30045882216787134]",0.598113130803919,Buildings are smaller,Field3_en,"[0.2628446318991028, 0.48971435161923416, 0.5984056179377334, 0.30045882216787134]",0.5984056179377334,Buildings are smaller,Field3_en,"[-3.6645448530117775, -2.435029420849517, -2.1487224069554016, -3.611223679083978]",-2.1487224069554016,Buildings are smaller,Field3_en,"[-0.47008324415440034, -0.28581387075507525, -0.23276225677245796, -0.6221313987205845]",-0.23276225677245796,Buildings are smaller,Field3_en,2I6FH3B,H3B,Beton,3,g,2
492,Shrink concrete,2,"[0.2236396, 0.6183512, 0.35541573, 0.20726171]",0.6183512210845947,Concrete dries out,Field2_en,"[0.2236396, 0.63735586, 0.36290738, 0.20726171]",0.6373558640480042,Concrete dries out,Field2_en,"[0.21075132681895162, 0.5096995581368657, 0.3578899015088063, 0.18416138178317637]",0.5096995581368657,Concrete dries out,Field2_en,"[0.21075132681895162, 0.5046431605657961, 0.3522859348206998, 0.18416138178317637]",0.5046431605657961,Concrete dries out,Field2_en,"[-3.6900972312204834, -2.3895264526074516, -3.3133863489451203, -3.828512623342037]",-2.3895264526074516,Concrete dries out,Field2_en,"[-0.5038657190817508, -0.5127171688256016, -0.49326475276693504, -0.6003002780200473]",-0.49326475276693504,Buildings are smaller,Field3_en,4I2O3G2,3G2,Beton,3,g,2
493,shrink concrete buildings,2,"[0.2919688, 0.55790967, 0.6356981, 0.34406978]",0.6356980800628662,Buildings are smaller,Field3_en,"[0.2919688, 0.5732072, 0.69152117, 0.34406978]",0.691521167755127,Buildings are smaller,Field3_en,"[0.2628446318991028, 0.494972735289703, 0.598113130803919, 0.30045882216787134]",0.598113130803919,Buildings are smaller,Field3_en,"[0.2628446318991028, 0.48971435161923416, 0.5984056179377334, 0.30045882216787134]",0.5984056179377334,Buildings are smaller,Field3_en,"[-3.6645448530117775, -2.435029420849517, -2.1487224069554016, -3.611223679083978]",-2.1487224069554016,Buildings are smaller,Field3_en,"[-0.47008324415440034, -0.28581387075507525, -0.23276225677245796, -0.6221313987205845]",-0.23276225677245796,Buildings are smaller,Field3_en,5I1FH3A,H3A,Beton,3,g,2
494,Concrete expands,2,"[0.2322535, 0.58101356, 0.2719573, 0.116631374]",0.581013560295105,Concrete dries out,Field2_en,"[0.2322535, 0.6155194, 0.2747139, 0.116631374]",0.6155194044113159,Concrete dries out,Field2_en,"[0.19667813546753116, 0.5033795115446329, 0.2597268463416113, 0.10085310801012032]",0.5033795115446329,Concrete dries out,Field2_en,"[0.19667813546753116, 0.5029044035950498, 0.25459236032065863, 0.10085310801012032]",0.5029044035950498,Concrete dries out,Field2_en,"[-3.8339591941595077, -2.5473748673120817, -3.63380096735068, -4.221122120048046]",-2.5473748673120817,Concrete dries out,Field2_en,"[-0.5324592526402838, -0.6622209333333413, -0.5221796768274454, -0.5626053425178303]",-0.5221796768274454,Buildings are smaller,Field3_en,5I2F3TT1,3TT1,Beton,0,c,2
495,Shrink concrete,2,"[0.2236396, 0.6183512, 0.35541573, 0.20726171]",0.6183512210845947,Concrete dries out,Field2_en,"[0.2236396, 0.63735586, 0.36290738, 0.20726171]",0.6373558640480042,Concrete dries out,Field2_en,"[0.21075132681895162, 0.5096995581368657, 0.3578899015088063, 0.18416138178317637]",0.5096995581368657,Concrete dries out,Field2_en,"[0.21075132681895162, 0.5046431605657961, 0.3522859348206998, 0.18416138178317637]",0.5046431605657961,Concrete dries out,Field2_en,"[-3.6900972312204834, -2.3895264526074516, -3.3133863489451203, -3.828512623342037]",-2.3895264526074516,Concrete dries out,Field2_en,"[-0.5038657190817508, -0.5127171688256016, -0.49326475276693504, -0.6003002780200473]",-0.49326475276693504,Buildings are smaller,Field3_en,5I3OV3D,V3D,Beton,3,g,2
496,the concrete shrinks,2,"[0.27591407, 0.6977498, 0.38357645, 0.17779048]",0.6977497935295105,Concrete dries out,Field2_en,"[0.23712553, 0.72525334, 0.3297347, 0.17413981]",0.7252533435821533,Concrete dries out,Field2_en,"[0.22829543621314835, 0.6240985193692955, 0.31679469961348034, 0.1410597261123055]",0.6240985193692955,Concrete dries out,Field2_en,"[0.22609411740519034, 0.6195179401074478, 0.29923977321293876, 0.14057567312771854]",0.6195179401074478,Concrete dries out,Field2_en,"[-3.376641410728452, -1.8017225717230447, -3.0590645732813817, -3.7605408707314236]",-1.8017225717230447,Concrete dries out,Field2_en,"[-0.5149220630960697, -0.5248357755617606, -0.49193936958141365, -0.5951645860923136]",-0.49193936958141365,Buildings are smaller,Field3_en,5I5F3A3,3A3,Beton,3,g,2
497,Concrete dries out,2,"[0.24110739, 1.0000001, 0.26467216, 0.22147515]",1.0000001192092896,Concrete dries out,Field2_en,"[0.23186803, 1.0, 0.23230188, 0.20987397]",1.0,Concrete dries out,Field2_en,"[0.25818132899991947, 1.0000000000000004, 0.20846416600772213, 0.17853381174095495]",1.0000000000000004,Concrete dries out,Field2_en,"[0.2544551465565095, 1.0000000000000002, 0.19496240383443153, 0.17336441246583828]",1.0000000000000002,Concrete dries out,Field2_en,"[-3.5795249261427617, -0.0, -3.447914142487556, -3.8399292520386035]",-0.0,Concrete dries out,Field2_en,"[-0.6247919965128632, 0.9999999999999998, -0.6399285607045381, -0.7406185349585184]",0.9999999999999998,Concrete dries out,Field2_en,7I5F3VA,3VA,Beton,2,g,2
498,KOMO-license applications for concrete,2,"[0.24270171, 0.5308954, 0.35314798, 0.18917339]",0.5308954119682312,Concrete dries out,Field2_en,"[0.21122126, 0.54720867, 0.31311768, 0.18674447]",0.5472086668014526,Concrete dries out,Field2_en,"[0.20311947839367347, 0.4484566170362377, 0.3304464661731645, 0.19868284491975383]",0.4484566170362377,Concrete dries out,Field2_en,"[0.19748076061025283, 0.4453267703375733, 0.3172720449864018, 0.19763677380442402]",0.4453267703375733,Concrete dries out,Field2_en,"[-3.3805404203852514, -2.0980797055137392, -3.066431986372755, -3.6513231104705195]",-2.0980797055137392,Concrete dries out,Field2_en,"[-0.5069750266881062, -0.5450585518229715, -0.5138003662434247, -0.6007493164931427]",-0.5069750266881062,Central heating,Field1_en,8I3F2VB,2VB,Beton,0,c,2
499,the concrete dries out,2,"[0.2735774, 0.9835547, 0.29887542, 0.22281605]",0.9835547208786011,Concrete dries out,Field2_en,"[0.23186803, 1.0, 0.23230188, 0.20987397]",1.0,Concrete dries out,Field2_en,"[0.26031799551712576, 0.9999291548379882, 0.21082791716611834, 0.17905679408578637]",0.9999291548379882,Concrete dries out,Field2_en,"[0.2544551465565095, 1.0000000000000002, 0.19496240383443153, 0.17336441246583828]",1.0000000000000002,Concrete dries out,Field2_en,"[-3.3192237951536177, -0.7121404732821781, -3.203143471483186, -3.672075464131832]",-0.7121404732821781,Concrete dries out,Field2_en,"[-0.6238403444712565, 0.9996457086317337, -0.6390032734280692, -0.7407764544477529]",0.9996457086317337,Concrete dries out,Field2_en,8I5FH3C,H3C,Beton,2,g,2
500,the concrete will shrink because the moisture in the concrete verdompt,2,"[0.3788552, 0.63374496, 0.41495177, 0.23533183]",0.6337449550628662,Concrete dries out,Field2_en,"[0.30922598, 0.65026176, 0.28949478, 0.20958133]",0.6502617597579956,Concrete dries out,Field2_en,"[0.32192183639837807, 0.626994127253986, 0.33926042163186715, 0.22675124817669157]",0.626994127253986,Concrete dries out,Field2_en,"[0.30641979399107055, 0.6148102506499322, 0.3063130719015807, 0.21574041536497238]",0.6148102506499322,Concrete dries out,Field2_en,"[-3.1592370039007194, -2.387067612566647, -2.9506519211898823, -3.570912198216248]",-2.387067612566647,Concrete dries out,Field2_en,"[-0.45617235753841484, -0.22144014456999625, -0.44679594842640247, -0.6001132707144191]",-0.22144014456999625,Concrete dries out,Field2_en,9I3F3A3,3A3,Beton,3,g,2
501,So also in elevator is stuck elevators,2,"[0.3100438, 0.2952742, 0.4338718, 0.7225074]",0.7225074172019958,Elevators Bliven hang,Field4_en,"[0.24326265, 0.16872913, 0.3241978, 0.78381085]",0.7838108539581299,Elevators Bliven hang,Field4_en,"[0.23259810765978045, 0.15265123152389662, 0.3317404121901961, 0.8500101965561515]",0.8500101965561515,Elevators Bliven hang,Field4_en,"[0.22293974416173493, 0.13066316357793062, 0.31251974783304465, 0.8474711811609231]",0.8474711811609231,Elevators Bliven hang,Field4_en,"[-3.2359601652803884, -3.2753956555897, -2.8429270617776874, -2.5824198671719714]",-2.5824198671719714,Elevators Bliven hang,Field4_en,"[-0.4201275639936394, -0.43988264317370385, -0.5060939356160463, -0.5317623365098378]",-0.4201275639936394,Central heating,Field1_en,10I2FHC3,HC3,Beton,4,g,2
502,dry concrete,2,"[0.26986822, 0.7636541, 0.24498214, 0.21814865]",0.7636541128158569,Concrete dries out,Field2_en,"[0.26986822, 0.7804157, 0.24024154, 0.21814865]",0.7804157137870789,Concrete dries out,Field2_en,"[0.27648671325792934, 0.7008926907858337, 0.25276027632893705, 0.21245260306185484]",0.7008926907858337,Concrete dries out,Field2_en,"[0.27648671325792934, 0.6941800238594188, 0.2453527724826774, 0.21245260306185484]",0.6941800238594188,Concrete dries out,Field2_en,"[-3.4974090924425125, -2.0809265601680447, -3.4669314666739783, -3.7856675874619485]",-2.0809265601680447,Concrete dries out,Field2_en,"[-0.5071971870359948, -0.45293602572517194, -0.5255802880781085, -0.5934516160457396]",-0.45293602572517194,Concrete dries out,Field2_en,11I3F3VA,3VA,Beton,0,c,2
503,there are heating needed in the concrete house,2,"[0.56732416, 0.56585735, 0.5453206, 0.30917567]",0.567324161529541,Central heating,Field1_en,"[0.619928, 0.5636242, 0.3712362, 0.2759469]",0.6199280023574829,Central heating,Field1_en,"[0.7598986012106121, 0.5028660958347498, 0.38796616119194416, 0.2953962869667944]",0.7598986012106121,Central heating,Field1_en,"[0.7730911644478602, 0.4908157594778074, 0.33981651077563, 0.27663731380170736]",0.7730911644478602,Central heating,Field1_en,"[-2.6790580766670704, -2.7323533904046156, -2.5943864313250673, -3.493300428870797]",-2.5943864313250673,Buildings are smaller,Field3_en,"[-0.1460153989240779, -0.14640330950110225, -0.3901331644904559, -0.5958311409791758]",-0.1460153989240779,Central heating,Field1_en,11I4FH3C,H3C,Beton,0,c,2
504,the heating system must not be used too much otherwise the building shrinks,2,"[0.49983183, 0.44286975, 0.52159894, 0.27770108]",0.5215989351272583,Buildings are smaller,Field3_en,"[0.5634278, 0.41746882, 0.42525628, 0.2534555]",0.5634278059005737,Central heating,Field1_en,"[0.6131293406740802, 0.49944760232611385, 0.4165097315931637, 0.2425653182003547]",0.6131293406740802,Central heating,Field1_en,"[0.6275188202754378, 0.492116276535241, 0.36863526388735157, 0.22327074041772205]",0.6275188202754378,Central heating,Field1_en,"[-2.8972461315272198, -3.12029442788604, -2.7985912055859745, -3.482096519510394]",-2.7985912055859745,Buildings are smaller,Field3_en,"[-0.11348901145940574, -0.1981486169655545, -0.2490987133194815, -0.5632148850526835]",-0.11348901145940574,Central heating,Field1_en,11I5F3A1,3A1,Beton,3,g,2
505,Heat affects concrete,2,"[0.42122453, 0.5650987, 0.27663296, 0.2506969]",0.5650987029075623,Concrete dries out,Field2_en,"[0.42122453, 0.5614673, 0.2275095, 0.2506969]",0.5614672899246216,Concrete dries out,Field2_en,"[0.4232491018534265, 0.4981813733882021, 0.2459980728475828, 0.23954262119902844]",0.4981813733882021,Concrete dries out,Field2_en,"[0.4232491018534265, 0.48934376043199407, 0.22278667732908683, 0.23954262119902844]",0.48934376043199407,Concrete dries out,Field2_en,"[-3.445349264156176, -2.5776261493448063, -3.615729162465464, -4.0317636595352395]",-2.5776261493448063,Concrete dries out,Field2_en,"[-0.4552694792418881, -0.39457608212570966, -0.5040682075921392, -0.5726280065621457]",-0.39457608212570966,Concrete dries out,Field2_en,11I5FH3A,H3A,Beton,0,c,2
506,heating in concrete,2,"[0.709444, 0.58971184, 0.3501481, 0.24775517]",0.709443986415863,Central heating,Field1_en,"[0.68897843, 0.60417104, 0.29028448, 0.25103426]",0.6889784336090088,Central heating,Field1_en,"[0.8136144970169835, 0.4859101835646014, 0.3014695694142914, 0.2567718565385434]",0.8136144970169835,Central heating,Field1_en,"[0.8116197662881915, 0.4825382649564923, 0.2832373498603746, 0.25642878330356766]",0.8116197662881915,Central heating,Field1_en,"[-1.976731745631817, -2.039598317205763, -3.1848227281505905, -3.666435554253552]",-1.976731745631817,Central heating,Field1_en,"[-0.3208060109824718, -0.31530135292624517, -0.5169091685612532, -0.5960058985164104]",-0.31530135292624517,Concrete dries out,Field2_en,11I6F2VB,2VB,Beton,1,g,2
507,concrete dries out,2,"[0.24110739, 1.0000001, 0.26467216, 0.22147515]",1.0000001192092896,Concrete dries out,Field2_en,"[0.23186803, 1.0, 0.23230188, 0.20987397]",1.0,Concrete dries out,Field2_en,"[0.25818132899991947, 1.0000000000000004, 0.20846416600772213, 0.17853381174095495]",1.0000000000000004,Concrete dries out,Field2_en,"[0.2544551465565095, 1.0000000000000002, 0.19496240383443153, 0.17336441246583828]",1.0000000000000002,Concrete dries out,Field2_en,"[-3.5795249261427617, -0.0, -3.447914142487556, -3.8399292520386035]",-0.0,Concrete dries out,Field2_en,"[-0.6247919965128632, 0.9999999999999998, -0.6399285607045381, -0.7406185349585184]",0.9999999999999998,Concrete dries out,Field2_en,14I3FA3A,A3A,Beton,2,g,2
508,The central heating is used,2,"[0.8301813, 0.31092495, 0.3760226, 0.17677589]",0.8301813006401062,Central heating,Field1_en,"[0.9062218, 0.25280824, 0.28266457, 0.19663772]",0.9062218070030212,Central heating,Field1_en,"[0.9853045546142065, 0.279278230698936, 0.26335724267656996, 0.2139399722271]",0.9853045546142065,Central heating,Field1_en,"[0.9878394735924322, 0.2685511225948302, 0.24294151783983764, 0.2150464965083037]",0.9878394735924322,Central heating,Field1_en,"[-1.7930466070388555, -3.2153110121387813, -2.878679851963439, -3.557728723646641]",-1.7930466070388555,Central heating,Field1_en,"[0.44118354133327425, -0.5503838734419608, -0.5824880181864475, -0.7131021821807266]",0.44118354133327425,Central heating,Field1_en,14I5F3AB,3AB,Beton,1,g,2
509,Using more concrete panels,2,"[0.28232732, 0.50856656, 0.4086372, 0.26417002]",0.5085665583610535,Concrete dries out,Field2_en,"[0.26919225, 0.51419914, 0.32307565, 0.2596716]",0.5141991376876831,Concrete dries out,Field2_en,"[0.2618625817236931, 0.40851417395418643, 0.35702247560924943, 0.2803602071805378]",0.40851417395418643,Concrete dries out,Field2_en,"[0.25549980765743924, 0.40250010841134665, 0.3237509752300799, 0.27638790998089935]",0.40250010841134665,Concrete dries out,Field2_en,"[-3.394643036334276, -2.5385022955564764, -3.091243035507063, -3.626022897056818]",-2.5385022955564764,Concrete dries out,Field2_en,"[-0.44712723152927586, -0.34738949819261333, -0.4340529986613834, -0.5871413302566704]",-0.34738949819261333,Concrete dries out,Field2_en,14I5FH3B,H3B,Beton,0,c,2
510,can reduce the concrete with a specific heating,2,"[0.52734315, 0.5566701, 0.44946346, 0.25141382]",0.5566701292991638,Concrete dries out,Field2_en,"[0.5674608, 0.5442489, 0.36017695, 0.24316569]",0.5674607753753662,Central heating,Field1_en,"[0.7054290150405955, 0.48804055522545364, 0.3765786523289723, 0.26397881994354383]",0.7054290150405955,Central heating,Field1_en,"[0.71393526354728, 0.4713751406933269, 0.3471823721654427, 0.25790453275057534]",0.71393526354728,Central heating,Field1_en,"[-2.7341515880469354, -2.7125544534169297, -2.9815791593702876, -3.613402581797711]",-2.7125544534169297,Concrete dries out,Field2_en,"[-0.25585902423914253, -0.218451863192691, -0.3986570854748958, -0.5898248671065276]",-0.218451863192691,Concrete dries out,Field2_en,15I3F3A3,3A3,Beton,3,g,2
511,heating is of course,2,"[0.65943736, 0.29354817, 0.30117223, 0.16589656]",0.659437358379364,Central heating,Field1_en,"[0.710807, 0.26510486, 0.16262783, 0.19201584]",0.7108070254325867,Central heating,Field1_en,"[0.9098374415704764, 0.2865052786834775, 0.20095959649309159, 0.20412761408099406]",0.9098374415704764,Central heating,Field1_en,"[0.9113764005384267, 0.2775338170030469, 0.17569151813120312, 0.20552758635654797]",0.9113764005384267,Central heating,Field1_en,"[-2.0316866823237514, -3.371676891997969, -3.027678995473428, -3.675629761463899]",-2.0316866823237514,Central heating,Field1_en,"[-0.48157233931726084, -0.466282933878906, -0.5360703495010242, -0.5649988638405251]",-0.466282933878906,Concrete dries out,Field2_en,17I1F3GA1,3GA1,Beton,1,g,2
512,This can not be properly against UV radiation,2,"[0.2549167, 0.2759859, 0.35254177, 0.21960017]",0.3525417745113373,Buildings are smaller,Field3_en,"[0.22571301, 0.13354008, 0.15974542, 0.21135822]",0.22571301460266113,Central heating,Field1_en,"[0.2561952268799345, 0.15148494766906653, 0.2199009936098661, 0.22144606442822165]",0.2561952268799345,Central heating,Field1_en,"[0.23214854598293203, 0.10489611507167214, 0.16239668866559334, 0.2145695067742632]",0.23214854598293203,Central heating,Field1_en,"[-3.3828190377162963, -3.4214501556322827, -3.1096477533735314, -3.6518642367450833]",-3.1096477533735314,Buildings are smaller,Field3_en,"[-0.494334152804687, -0.46766789384566343, -0.5176255289677312, -0.6328388551586304]",-0.46766789384566343,Concrete dries out,Field2_en,17I1F3VA,3VA,Beton,0,c,2
513,By heating plants shrinks concrete,2,"[0.5663009, 0.589566, 0.45672855, 0.23818263]",0.5895659923553467,Concrete dries out,Field2_en,"[0.57953453, 0.628756, 0.40252787, 0.25940025]",0.6287559866905212,Concrete dries out,Field2_en,"[0.6101308105405319, 0.6053819008666286, 0.3975742401074607, 0.23519810996288545]",0.6101308105405319,Central heating,Field1_en,"[0.6106347754030952, 0.6032593348617507, 0.37569884883438753, 0.23654991330307873]",0.6106347754030952,Central heating,Field1_en,"[-2.8476187497292043, -2.73682249512462, -3.3243464076081817, -3.937004827531338]",-2.73682249512462,Concrete dries out,Field2_en,"[-0.2969378828208897, -0.2150861699240734, -0.4019569758699881, -0.6097391955539746]",-0.2150861699240734,Concrete dries out,Field2_en,17I2FH3D,H3D,Beton,1,g,2
