Field,Field_correct,Field_en,Field_correct_en,Accuracy_score,Code,Fieldname
muziek te leren spelen,Muziek leren lezen en spelen,music playing,learn to read and play music,1,g,Muziek;Field1
noten kunnen lezen,Muziek leren lezen en spelen,note read,learn to read and play music,1,g,Muziek;Field1
muzieknoten lezen en spelen tegelijkertijd,Muziek leren lezen en spelen,read music notes and play simultaneously,learn to read and play music,1,g,Muziek;Field1
bladmuziek lezen is goed voor je hersenen,Muziek leren lezen en spelen,sheet music reading is good for your brains,learn to read and play music,1,g,Muziek;Field1
Noten lezen en daarna toepassen,Muziek leren lezen en spelen,Reading notes and then apply,learn to read and play music,1,g,Muziek;Field1
Je moet bv. Noten lezen,Muziek leren lezen en spelen,You need eg. Reading notes,learn to read and play music,1,g,Muziek;Field1
spelen van muziek,Muziek leren lezen en spelen,Playing music,learn to read and play music,1,g,Muziek;Field1
als je muziek speelt,Muziek leren lezen en spelen,if you play music,learn to read and play music,1,g,Muziek;Field1
Door het leren spelen van een muziek instrument,Muziek leren lezen en spelen,By learning to play a musical instrument,learn to read and play music,1,g,Muziek;Field1
je leert muziek,Muziek leren lezen en spelen,you learn music,learn to read and play music,1,g,Muziek;Field1
muziek leren en noten lezen stimuleert verschillende hersengebieden,Muziek leren lezen en spelen,music and learning to read music stimulates various brain regions,learn to read and play music,1,g,Muziek;Field1
muziek maken,Muziek leren lezen en spelen,make music,learn to read and play music,1,g,Muziek;Field1
muziek spelen,Muziek leren lezen en spelen,play music,learn to read and play music,1,g,Muziek;Field1
je leest noten en speelt tegelijk,Muziek leren lezen en spelen,you read notes and play simultaneously,learn to read and play music,1,g,Muziek;Field1
Muziek leren spelen,Muziek leren lezen en spelen,learn to play music,learn to read and play music,1,g,Muziek;Field1
als je een muziek instrument bespeeld en de noten kan lezen,Muziek leren lezen en spelen,if you played a musical instrument and can read notes,learn to read and play music,1,g,Muziek;Field1
"Als je muziek speelt, moet je spelen en noten lezen",Muziek leren lezen en spelen,"If you play music, you need to play and reading notes",learn to read and play music,1,g,Muziek;Field1
het leren van noten en muziek,Muziek leren lezen en spelen,learning notes and music,learn to read and play music,1,g,Muziek;Field1
instrument bespelen,Muziek leren lezen en spelen,to play an instrument,learn to read and play music,1,g,Muziek;Field1
muzieknoten leren,Muziek leren lezen en spelen,learning musical notes,learn to read and play music,1,g,Muziek;Field1
Voor muziek moet je noten leren,Muziek leren lezen en spelen,For music you have to learn notes,learn to read and play music,1,g,Muziek;Field1
als je muziek leert lezen,Muziek leren lezen en spelen,if you learn to read music,learn to read and play music,1,g,Muziek;Field1
muziek spelen of leren,Muziek leren lezen en spelen,music playing or learning,learn to read and play music,1,g,Muziek;Field1
bij het spelen van muziek moet je noten lezen en de juiste noten spelen,Muziek leren lezen en spelen,when you play music you have to read music and play the right notes,learn to read and play music,1,g,Muziek;Field1
lezen van bladmuziek,Muziek leren lezen en spelen,reading sheet music,learn to read and play music,1,g,Muziek;Field1
door het lezen van bladmuziek met alle noten enzo,Muziek leren lezen en spelen,by reading sheet music with all the notes and stuff,learn to read and play music,1,g,Muziek;Field1
Door het lezen van noten en bespelen van instrumenten,Muziek leren lezen en spelen,By reading notes and playing instruments,learn to read and play music,1,g,Muziek;Field1
met muziek spelen moet je leren om noten te lezen,Muziek leren lezen en spelen,with music games you have to learn to read music,learn to read and play music,1,g,Muziek;Field1
door een instrument te spelen,Muziek leren lezen en spelen,by playing an instrument,learn to read and play music,1,g,Muziek;Field1
een muziek instrument bespelen,Muziek leren lezen en spelen,Playing a musical instrument,learn to read and play music,1,g,Muziek;Field1
Je leest noten van het bladmuziek,Muziek leren lezen en spelen,You read the notes of music,learn to read and play music,1,g,Muziek;Field1
noten die je moet leren kennen gaan je geheugen in,Muziek leren lezen en spelen,notes you should know going in your memory,learn to read and play music,1,g,Muziek;Field1
bij muziek moet je noten leren en lezen,Muziek leren lezen en spelen,with music notes and you have to learn to read,learn to read and play music,1,g,Muziek;Field1
noten lezen en muziek maken tegelijk,Muziek leren lezen en spelen,read notes and make music together,learn to read and play music,1,g,Muziek;Field1
door het lezen van noten en het spelen van een instrument,Muziek leren lezen en spelen,by reading notes and playing an instrument,learn to read and play music,1,g,Muziek;Field1
met muziek maken meel je spelen en bladmuziek lezen,Muziek leren lezen en spelen,making music flour can play and read music,learn to read and play music,1,g,Muziek;Field1
het leren van muziek,Muziek leren lezen en spelen,learning music,learn to read and play music,1,g,Muziek;Field1
door bladmuziek te lezen,Muziek leren lezen en spelen,by reading sheet music,learn to read and play music,1,g,Muziek;Field1
Door muziek noten te lezen,Muziek leren lezen en spelen,By reading music notes,learn to read and play music,1,g,Muziek;Field1
muziek spelen of leren,Muziek leren lezen en spelen,music playing or learning,learn to read and play music,1,g,Muziek;Field1
door muziek te spelen,Muziek leren lezen en spelen,by playing music,learn to read and play music,1,g,Muziek;Field1
De afwisseling van noten spelen en het onthouden van noten,Muziek leren lezen en spelen,play alternating notes and memorizing notes,learn to read and play music,1,g,Muziek;Field1
als je muziek speelt,Muziek leren lezen en spelen,if you play music,learn to read and play music,1,g,Muziek;Field1
Bv het lezen van noten doe je meerdere dingen tegelijk,Muziek leren lezen en spelen,Eg reading notes do several things at once,learn to read and play music,0,c,Muziek;Field1
Je moet de muzieknoten onthouden om het te kunnen lezen,Muziek leren lezen en spelen,You have to remember the notes to read the,learn to read and play music,0,c,Muziek;Field1
muziek luisteren is goed,Muziek leren lezen en spelen,listening to music is good,learn to read and play music,0,c,Muziek;Field1
muziek doe je met je hersenen,Muziek leren lezen en spelen,music done with your brains,learn to read and play music,0,c,Muziek;Field1
muziek is heel breed,Muziek leren lezen en spelen,music is very wide,learn to read and play music,0,c,Muziek;Field1
Voor het maken van muziek en het lezen van noten gebruik je je hersenen,Muziek leren lezen en spelen,For making music and reading notes you use your brains,learn to read and play music,0,c,Muziek;Field1
gebruik van muziek is goed,Muziek leren lezen en spelen,Using music is good,learn to read and play music,0,c,Muziek;Field1
muziek lezen koppelt het geheugen,Muziek leren lezen en spelen,read music combines memory,learn to read and play music,0,c,Muziek;Field1
je maakt muziek,Muziek leren lezen en spelen,you make music,learn to read and play music,0,c,Muziek;Field1
leren van noten,Muziek leren lezen en spelen,Learning notes,learn to read and play music,0,c,Muziek;Field1
Muziek spelen,Muziek leren lezen en spelen,Play music,learn to read and play music,0,c,Muziek;Field1
muziek maken maakt slimmer,Muziek leren lezen en spelen,Making music makes you smarter,learn to read and play music,0,c,Muziek;Field1
muziek is goed voor de hersenen,Muziek leren lezen en spelen,Music is good for the brains,learn to read and play music,0,c,Muziek;Field1
Met het luisteren van muziek,Muziek leren lezen en spelen,By listening to music,learn to read and play music,0,c,Muziek;Field1
Muziek luisteren,Muziek leren lezen en spelen,Listen to music,learn to read and play music,0,c,Muziek;Field1
Muziek is gezond,Muziek leren lezen en spelen,Music is healthy,learn to read and play music,0,c,Muziek;Field1
Muziek maakt slimmer,Muziek leren lezen en spelen,Music makes you smarter,learn to read and play music,0,c,Muziek;Field1
Je luistert muziek,Muziek leren lezen en spelen,You listen music,learn to read and play music,0,c,Muziek;Field1
bladmuziek lezen is ingewikkeld,Muziek leren lezen en spelen,sheet music reading is complicated,learn to read and play music,0,c,Muziek;Field1
luisteren naar muziek,Muziek leren lezen en spelen,listen to music,learn to read and play music,0,c,Muziek;Field1
Je moet noten omzetten in muziek,Muziek leren lezen en spelen,You need to convert notes in music,learn to read and play music,0,c,Muziek;Field1
Bij muziekspelen moet je verschillende noten spelen,Muziek leren lezen en spelen,When playing music you play different notes,learn to read and play music,0,c,Muziek;Field1
muziek legt verbanden,Muziek leren lezen en spelen,Music makes connections,learn to read and play music,0,c,Muziek;Field1
door muziek te luisteren wordt je slimmer van,Muziek leren lezen en spelen,by listening music you become smarter,learn to read and play music,0,c,Muziek;Field1
muziek maakt je slimmer,Muziek leren lezen en spelen,Music makes you smarter,learn to read and play music,0,c,Muziek;Field1
vroeg muziek leren,Muziek leren lezen en spelen,early learning music,learn to read and play music,0,c,Muziek;Field1
muziek spelen kan je helpen,Muziek leren lezen en spelen,Playing music can help,learn to read and play music,0,c,Muziek;Field1
muziek traint de hersens,Muziek leren lezen en spelen,music trains the brain,learn to read and play music,0,c,Muziek;Field1
Suez-kanaal is gegraven,Geen natuurlijke verbinding Atlantische-Indische Ocean,Suez canal has been dug,No natural connection Western Indian Ocean,4,g,Suez;Field1
Suezkanaal wordt gegraven,Geen natuurlijke verbinding Atlantische-Indische Ocean,Suez Canal is dug,No natural connection Western Indian Ocean,4,g,Suez;Field1
De handelsroute van Jeddah naar Rotterdam te lang,Geen natuurlijke verbinding Atlantische-Indische Ocean,The trade route from Jeddah to Rotterdam last,No natural connection Western Indian Ocean,3,g,Suez;Field1
Afstand Atlantische en Indische oceaan te lang,Geen natuurlijke verbinding Atlantische-Indische Ocean,Distance Atlantic and Indian Ocean last,No natural connection Western Indian Ocean,3,g,Suez;Field1
te lange afstand,Geen natuurlijke verbinding Atlantische-Indische Ocean,for long distance,No natural connection Western Indian Ocean,3,g,Suez;Field1
Om van Jeddah naar r'dam was heel erg om,Geen natuurlijke verbinding Atlantische-Indische Ocean,To Jeddah to R'dam was very to,No natural connection Western Indian Ocean,3,g,Suez;Field1
koopvaarders moeten ver varen van de Atlantische Oceaan naar de Indische oceaan,Geen natuurlijke verbinding Atlantische-Indische Ocean,merchantmen to sail far from the Atlantic to the Indian Ocean,No natural connection Western Indian Ocean,3,g,Suez;Field1
De afstand tussen Eu en USA te groot is,Geen natuurlijke verbinding Atlantische-Indische Ocean,The distance between Eu and USA is too big,No natural connection Western Indian Ocean,3,g,Suez;Field1
Afstand Jeddah-Rotterdam te groot,Geen natuurlijke verbinding Atlantische-Indische Ocean,Distance Jeddah Rotterdam too big,No natural connection Western Indian Ocean,3,g,Suez;Field1
De afstand tussen haven Jeddah en havens in europa waren heel lang,Geen natuurlijke verbinding Atlantische-Indische Ocean,The distance between Jeddah port and ports in Europe were long,No natural connection Western Indian Ocean,3,g,Suez;Field1
schepen moesten om arika heen voren omdat daar de enige doorgang was,Geen natuurlijke verbinding Atlantische-Indische Ocean,arika ships had to go ahead because it was the only passage,No natural connection Western Indian Ocean,2,g,Suez;Field1
Je moest helemaal om Afrika heen naar Jeddah,Geen natuurlijke verbinding Atlantische-Indische Ocean,You had to go all the way to Africa to Jeddah,No natural connection Western Indian Ocean,2,g,Suez;Field1
Omdat je vroeger helemaal om Afrika heen moestvaren om bij Jeddah te komen hebben ze,Geen natuurlijke verbinding Atlantische-Indische Ocean,Since you used all had to sail around Africa to reach Jeddah them,No natural connection Western Indian Ocean,2,g,Suez;Field1
Vroeger moest je om Afrika heen varen en dat wouden de mensen niet meer,Geen natuurlijke verbinding Atlantische-Indische Ocean,Previously you had to sail back to Africa and forests people no longer,No natural connection Western Indian Ocean,2,g,Suez;Field1
Er moest om Afrika heen worden gevaren,Geen natuurlijke verbinding Atlantische-Indische Ocean,There must be around Africa hazards,No natural connection Western Indian Ocean,2,g,Suez;Field1
Schepen moesten eerst rond heel Afrika varen,Geen natuurlijke verbinding Atlantische-Indische Ocean,Ships must first sail around the whole of Africa,No natural connection Western Indian Ocean,2,g,Suez;Field1
Schepen moesten om heel Afrika heen varen,Geen natuurlijke verbinding Atlantische-Indische Ocean,Ships had to sail around the whole of Africa,No natural connection Western Indian Ocean,2,g,Suez;Field1
om aan de andere kant te komen moest je om afrika heen,Geen natuurlijke verbinding Atlantische-Indische Ocean,around to the other side you had to come to Africa,No natural connection Western Indian Ocean,2,g,Suez;Field1
De reis van de indische oceaan naar middellanse zee en naar de Atlantische oceaan was er groot omdat ze helemaal onder Afrika heen moesten,Geen natuurlijke verbinding Atlantische-Indische Ocean,The journey of the Indian Ocean to middellanse sea and the Atlantic ocean was great because they had to go all the way under Africa,No natural connection Western Indian Ocean,2,g,Suez;Field1
de scheepsroute van Rotterdam naar India was er lang. Moets helemaal om afrika heen.,Geen natuurlijke verbinding Atlantische-Indische Ocean,The shipping route from Rotterdam to India was long. Mest all around Africa.,No natural connection Western Indian Ocean,2,g,Suez;Field1
geen natuurlijk bruglarg tussen Jeddah en rotterdam,Geen natuurlijke verbinding Atlantische-Indische Ocean,no natural bruglarg between Jeddah and Rotterdam,No natural connection Western Indian Ocean,1,g,Suez;Field1
vroeger was de atlantische oceaan nog niet verbonden met de indische,Geen natuurlijke verbinding Atlantische-Indische Ocean,formerly the Atlantic was not attached to the indian,No natural connection Western Indian Ocean,1,g,Suez;Field1
Tussen de indische en arabische zee zit een woestijn,Geen natuurlijke verbinding Atlantische-Indische Ocean,Between the Indian and Arabian sea is a wilderness,No natural connection Western Indian Ocean,1,g,Suez;Field1
Geen directe eroute tussen Indische oceaan en Atlantische oceaan,Geen natuurlijke verbinding Atlantische-Indische Ocean,No direct eroute between Indian Ocean and Atlantic Ocean,No natural connection Western Indian Ocean,1,g,Suez;Field1
Tussen 2 zeeen was geen kanaal maar woestijn,Geen natuurlijke verbinding Atlantische-Indische Ocean,Between two seas canal was not just desert,No natural connection Western Indian Ocean,1,g,Suez;Field1
Er moest een verbinding komen tussen de Indische oceaan en de Middellandse zee,Geen natuurlijke verbinding Atlantische-Indische Ocean,There had to be a connection between the Indian Ocean and the Mediterranean Sea,No natural connection Western Indian Ocean,1,g,Suez;Field1
Er was geen verbinding tussen indische en \'85 oceaan,Geen natuurlijke verbinding Atlantische-Indische Ocean,There was no connection between Indian and \ '85 ocean,No natural connection Western Indian Ocean,1,g,Suez;Field1
er was geen verbinding van atlantische-zee naar de indische oceaan,Geen natuurlijke verbinding Atlantische-Indische Ocean,there was no Atlantic-sea connection to the Indian Ocean,No natural connection Western Indian Ocean,1,g,Suez;Field1
Tussen Atlantische oceaan en Indische oceaan ligt een woestijn,Geen natuurlijke verbinding Atlantische-Indische Ocean,a desert located between Atlantic Ocean and Indian Ocean,No natural connection Western Indian Ocean,1,g,Suez;Field1
geen verbinding met water tussen middelandse zee en indische zee,Geen natuurlijke verbinding Atlantische-Indische Ocean,no connection to water between the Mediterranean and Indian ocean,No natural connection Western Indian Ocean,1,g,Suez;Field1
Geen verbinding tussen de indische en middelandse zee,Geen natuurlijke verbinding Atlantische-Indische Ocean,No connection between the Indian and Mediterranean,No natural connection Western Indian Ocean,1,g,Suez;Field1
Geen verbinding tussen atlantische oceaan en indische oceaan,Geen natuurlijke verbinding Atlantische-Indische Ocean,No connection between the Atlantic and Indian Ocean,No natural connection Western Indian Ocean,1,g,Suez;Field1
Eerst geen water,Geen natuurlijke verbinding Atlantische-Indische Ocean,First water,No natural connection Western Indian Ocean,0,c,Suez;Field1
handelsroutes te lang,Geen natuurlijke verbinding Atlantische-Indische Ocean,trade routes too long,No natural connection Western Indian Ocean,0,c,Suez;Field1
handelroute Jeddah-Europa heel lang,Geen natuurlijke verbinding Atlantische-Indische Ocean,Europe trade route Jeddah-long,No natural connection Western Indian Ocean,0,c,Suez;Field1
Atlantische en Indische oceaan niet verbonden,Geen natuurlijke verbinding Atlantische-Indische Ocean,Atlantic and Indian Ocean unconnected,No natural connection Western Indian Ocean,0,c,Suez;Field1
Mensen wilde handel voeren tussen Jeddah en Rotterdam,Geen natuurlijke verbinding Atlantische-Indische Ocean,People wanted to conduct trade between Jeddah and Rotterdam,No natural connection Western Indian Ocean,0,c,Suez;Field1
omdat het voor handelaren in Afrika en Azi\'eb & het midden oosten moeilijk was om te varen werd het kanaal aangelegd,Geen natuurlijke verbinding Atlantische-Indische Ocean,because for traders in Africa and Asia \ 'ebb & middle east was difficult to sail the canal was built,No natural connection Western Indian Ocean,0,c,Suez;Field1
lange weg europa jeddah,Geen natuurlijke verbinding Atlantische-Indische Ocean,long road europe jeddah,No natural connection Western Indian Ocean,0,c,Suez;Field1
het is een belangrijke handelsroute,Geen natuurlijke verbinding Atlantische-Indische Ocean,it is an important trade route,No natural connection Western Indian Ocean,0,c,Suez;Field1
woestijn tussen Indische Oceaan en Atlantische oceaan,Geen natuurlijke verbinding Atlantische-Indische Ocean,desert between Indian and Atlantic Ocean,No natural connection Western Indian Ocean,0,c,Suez;Field1
afstand jeddah - rotterdam te groot,Geen natuurlijke verbinding Atlantische-Indische Ocean,distance jeddah - Rotterdam too big,No natural connection Western Indian Ocean,0,c,Suez;Field1
geen kanaal,Geen natuurlijke verbinding Atlantische-Indische Ocean,no channel,No natural connection Western Indian Ocean,0,c,Suez;Field1
geen verbinding tussen de atlantische en de Indische ocean,Geen natuurlijke verbinding Atlantische-Indische Ocean,no connection between the Atlantic and Indian ocean,No natural connection Western Indian Ocean,0,c,Suez;Field1
Handel was belangrijk tussen Europa en Azi\'eb,Geen natuurlijke verbinding Atlantische-Indische Ocean,Trade was important between Europe and Asia \ 'eb,No natural connection Western Indian Ocean,0,c,Suez;Field1
zeelui wilden handelen met Azi\'eb,Geen natuurlijke verbinding Atlantische-Indische Ocean,sailors wanted to trade with Asia \ 'eb,No natural connection Western Indian Ocean,0,c,Suez;Field1
Tussen \'85oceaan en \'85oceaan loopt geen rivier,Geen natuurlijke verbinding Atlantische-Indische Ocean,"Between \ '85oceaan and \ ""no river runs 85oceaan",No natural connection Western Indian Ocean,0,c,Suez;Field1
afstand jeddah - rotterdam te lang,Geen natuurlijke verbinding Atlantische-Indische Ocean,distance jeddah - Rotterdam last,No natural connection Western Indian Ocean,0,c,Suez;Field1
Verbinding tussen de indische oceaan en de middellandse zee,Geen natuurlijke verbinding Atlantische-Indische Ocean,Connection between the Indian Ocean and the Mediterranean Sea,No natural connection Western Indian Ocean,0,c,Suez;Field1
grote afstand van jeddah-rotterdam,Geen natuurlijke verbinding Atlantische-Indische Ocean,large distance from jeddah-Rotterdam,No natural connection Western Indian Ocean,0,c,Suez;Field1
tussen 2 oceane een kanaal gegraven,Geen natuurlijke verbinding Atlantische-Indische Ocean,between 2 oceane a channel dug,No natural connection Western Indian Ocean,0,c,Suez;Field1
Veel handel,Geen natuurlijke verbinding Atlantische-Indische Ocean,many trade,No natural connection Western Indian Ocean,0,c,Suez;Field1
men vondt de afstand lang,Geen natuurlijke verbinding Atlantische-Indische Ocean,one vondt the longitudinal distance,No natural connection Western Indian Ocean,0,c,Suez;Field1
helemaal gegraven,Geen natuurlijke verbinding Atlantische-Indische Ocean,completely dug,No natural connection Western Indian Ocean,0,c,Suez;Field1
handelen over woestijn niet handig,Geen natuurlijke verbinding Atlantische-Indische Ocean,deal desert not convenient,No natural connection Western Indian Ocean,0,c,Suez;Field1
eerst moesten schepen 10000+ mijl over zee naar Rotterdam,Geen natuurlijke verbinding Atlantische-Indische Ocean,First ships had 10000+ miles by sea to Rotterdam,No natural connection Western Indian Ocean,0,c,Suez;Field1
Woestijn tussen 2 oceanen,Geen natuurlijke verbinding Atlantische-Indische Ocean,Desert between two oceans,No natural connection Western Indian Ocean,0,c,Suez;Field1
handelschepen van havenstad saoedie-arabi\'eb naar Europa,Geen natuurlijke verbinding Atlantische-Indische Ocean,merchant ships from port saudi-arabia \ 'ebb to Europe,No natural connection Western Indian Ocean,0,c,Suez;Field1
oostenrijkse ontwerper groef het suezkanaal,Geen natuurlijke verbinding Atlantische-Indische Ocean,Austrian designer joined the Suez canal,No natural connection Western Indian Ocean,0,c,Suez;Field1
door graven van suezkanaal,Geen natuurlijke verbinding Atlantische-Indische Ocean,by digging Suez canal,No natural connection Western Indian Ocean,0,c,Suez;Field1
geen waterverbinding,Geen natuurlijke verbinding Atlantische-Indische Ocean,no water connection,No natural connection Western Indian Ocean,0,c,Suez;Field1
mensen handelen met het buitenland,Geen natuurlijke verbinding Atlantische-Indische Ocean,people trading with foreign countries,No natural connection Western Indian Ocean,0,c,Suez;Field1
grote afstand via zee van atlantisch indische,Geen natuurlijke verbinding Atlantische-Indische Ocean,great distance from sea atlantic indian,No natural connection Western Indian Ocean,0,c,Suez;Field1
Eerst moesten mensen lange afstand door afrika afleggen,Geen natuurlijke verbinding Atlantische-Indische Ocean,"First, people had long-distance travel through Africa",No natural connection Western Indian Ocean,0,c,Suez;Field1
Afstand Jeddah-Rotterdam heel lang (ong. 10.000 zeemijl),Geen natuurlijke verbinding Atlantische-Indische Ocean,Distance Rotterdam Jeddah-long (approx. 10 000 nautical miles),No natural connection Western Indian Ocean,0,c,Suez;Field1
reis door woestijn voor handel,Geen natuurlijke verbinding Atlantische-Indische Ocean,journey through desert for trade,No natural connection Western Indian Ocean,0,c,Suez;Field1
afstand voor schepen van Jeddah-Rotterdam te lang vanwege woestijn,Geen natuurlijke verbinding Atlantische-Indische Ocean,distance for ships Jeddah Rotterdam last for desert,No natural connection Western Indian Ocean,0,c,Suez;Field1
Het duurde land om van de ene naar de andere plek te gaan,Geen natuurlijke verbinding Atlantische-Indische Ocean,It took the country to move from one place to another,No natural connection Western Indian Ocean,0,c,Suez;Field1
De verbinding is belangrijk omdat zij handel wilden drijven,Geen natuurlijke verbinding Atlantische-Indische Ocean,The connection is important because they wanted to trade,No natural connection Western Indian Ocean,0,c,Suez;Field1
"Een woestijn tussen twee grote oceanen, lange omweg",Geen natuurlijke verbinding Atlantische-Indische Ocean,"A desert between two great oceans, long detour",No natural connection Western Indian Ocean,0,c,Suez;Field1
Afstand Jeddah-Rotterdam moeilijk te komen,Geen natuurlijke verbinding Atlantische-Indische Ocean,hard to come away Jeddah Rotterdam,No natural connection Western Indian Ocean,0,c,Suez;Field1
route scheepvaart Indische Oceaan - Middellandse zee heel lang,Geen natuurlijke verbinding Atlantische-Indische Ocean,Indian Ocean shipping route - Mediterranean long,No natural connection Western Indian Ocean,0,c,Suez;Field1
Grote afstanden en geen vervoer voor producten over water,Geen natuurlijke verbinding Atlantische-Indische Ocean,Long distances and no transport goods by water,No natural connection Western Indian Ocean,0,c,Suez;Field1
lange afstand tussen Jeddah en rotterdam,Geen natuurlijke verbinding Atlantische-Indische Ocean,long distance between Jeddah and Rotterdam,No natural connection Western Indian Ocean,0,c,Suez;Field1
te veel afstand tussen 2 oceanen,Geen natuurlijke verbinding Atlantische-Indische Ocean,too much distance between two oceans,No natural connection Western Indian Ocean,0,c,Suez;Field1
Schepen uit azi\'eb moesten lange weg afleggen,Geen natuurlijke verbinding Atlantische-Indische Ocean,Ships had to walk long way from asia \ 'eb,No natural connection Western Indian Ocean,0,c,Suez;Field1
handelaren van europa naar azi\'eb en midden-oosten vonden afstand te lang,Geen natuurlijke verbinding Atlantische-Indische Ocean,traders europe to asia \ 'ebb and Middle East were away too long,No natural connection Western Indian Ocean,0,c,Suez;Field1
liften worden groter,Beton droogt uit,elevators be greater,Concrete dries out,0,c,Beton;Field2
Worden gebouwen kleiner,Beton droogt uit,Are smaller buildings,Concrete dries out,3,g,Beton;Field2
KOMO-certificaat nodig voor beton,Beton droogt uit,KOMO certificate for concrete,Concrete dries out,0,c,Beton;Field2
krimpen gebouwen,Beton droogt uit,shrink buildings,Concrete dries out,3,g,Beton;Field2
door centrale verwarming,Beton droogt uit,by central heating,Concrete dries out,1,g,Beton;Field2
gebruiken de mensen toch de centrale verwarming,Beton droogt uit,people still use the central heating,Concrete dries out,1,g,Beton;Field2
zakken de huizen / muren,Beton droogt uit,lower houses / walls,Concrete dries out,0,c,Beton;Field2
groot bouwen + kleinere liften,Beton droogt uit,big build smaller elevators +,Concrete dries out,0,c,Beton;Field2
kunnen betonnen gebouwen krimpen,Beton droogt uit,may shrink concrete buildings,Concrete dries out,3,g,Beton;Field2
krimpen veel gebouwen die van o.a. Beton zijn gemaakt,Beton droogt uit,shrink many buildings made from concrete include,Concrete dries out,3,g,Beton;Field2
als beton uitdroogt krimpt het gebouw,Beton droogt uit,as concrete dries it shrinks building,Concrete dries out,2,g,Beton;Field2
moet er een komo-certificaat zijn,Beton droogt uit,there must be a KOMO-certificate,Concrete dries out,0,c,Beton;Field2
Wordt het beton kleiner,Beton droogt uit,The concrete is less,Concrete dries out,3,g,Beton;Field2
kan krimpen,Beton droogt uit,can shrink,Concrete dries out,3,g,Beton;Field2
krimpen gebouwen,Beton droogt uit,shrink buildings,Concrete dries out,3,g,Beton;Field2
krimpt het beton in,Beton droogt uit,the concrete shrinks,Concrete dries out,3,g,Beton;Field2
droogt het beton uit,Beton droogt uit,the concrete dries out,Concrete dries out,2,g,Beton;Field2
gaat het beton krimpen,Beton droogt uit,to shrink the concrete,Concrete dries out,3,g,Beton;Field2
worden gebouwen kleiner,Beton droogt uit,buildings are smaller,Concrete dries out,3,g,Beton;Field2
door de verwarming aan te zetten be\'efnvloed je het beton,Beton droogt uit,"by turning on the heater be \ ""you efnvloed concrete",Concrete dries out,1,g,Beton;Field2
Door de CV wordt het beton warmer,Beton droogt uit,By heating the concrete heats,Concrete dries out,1,g,Beton;Field2
worden gebouwen kleiner,Beton droogt uit,buildings are smaller,Concrete dries out,3,g,Beton;Field2
Droogt het beton uit,Beton droogt uit,The concrete dries out,Concrete dries out,2,g,Beton;Field2
heeft nederland een wet dat je alleen speciaal beton mag gebruiken,Beton droogt uit,Netherlands has a law that you can only use special concrete,Concrete dries out,0,c,Beton;Field2
door de warmte krimpt het beton,Beton droogt uit,by heat shrinking the concrete,Concrete dries out,3,g,Beton;Field2
beton kan niet goed tegen warmte,Beton droogt uit,concrete can not stand heat,Concrete dries out,0,c,Beton;Field2
gaat het beton uitdrogen,Beton droogt uit,drying out the concrete,Concrete dries out,2,g,Beton;Field2
krimpt beton,Beton droogt uit,concrete shrinks,Concrete dries out,3,g,Beton;Field2
krimpt het beton,Beton droogt uit,Shrink concrete,Concrete dries out,3,g,Beton;Field2
krimpt het beton,Beton droogt uit,Shrink concrete,Concrete dries out,3,g,Beton;Field2
worden gebouwen kleiner,Beton droogt uit,buildings are smaller,Concrete dries out,3,g,Beton;Field2
Ontstaat er beton krimpt,Beton droogt uit,Creates concrete shrinks,Concrete dries out,3,g,Beton;Field2
Daarom kan beton uitdrogen,Beton droogt uit,Therefore dry concrete,Concrete dries out,2,g,Beton;Field2
droogt beton uit,Beton droogt uit,concrete dries out,Concrete dries out,2,g,Beton;Field2
het beton wordt warm,Beton droogt uit,the concrete is hot,Concrete dries out,0,c,Beton;Field2
krimpen betonnen gebouwen,Beton droogt uit,shrink concrete buildings,Concrete dries out,3,g,Beton;Field2
het beton krimpt,Beton droogt uit,Shrink concrete,Concrete dries out,3,g,Beton;Field2
betonnen gebouwen krimpen,Beton droogt uit,shrink concrete buildings,Concrete dries out,3,g,Beton;Field2
beton zet uit,Beton droogt uit,Concrete expands,Concrete dries out,0,c,Beton;Field2
het beton krimpt,Beton droogt uit,Shrink concrete,Concrete dries out,3,g,Beton;Field2
krimpt het beton in,Beton droogt uit,the concrete shrinks,Concrete dries out,3,g,Beton;Field2
Droogt beton uit,Beton droogt uit,Concrete dries out,Concrete dries out,2,g,Beton;Field2
KOMO-certificaat aanvragen voor beton,Beton droogt uit,KOMO-license applications for concrete,Concrete dries out,0,c,Beton;Field2
droogt het beton uit,Beton droogt uit,the concrete dries out,Concrete dries out,2,g,Beton;Field2
het beton krimpt hierdoor omdat het vocht in het beton verdompt,Beton droogt uit,the concrete will shrink because the moisture in the concrete verdompt,Concrete dries out,3,g,Beton;Field2
in liften ook dus hangt lift vast,Beton droogt uit,So also in elevator is stuck elevators,Concrete dries out,4,g,Beton;Field2
beton droogt op,Beton droogt uit,dry concrete,Concrete dries out,0,c,Beton;Field2
zijn er verwarmings nodig in het betonnen huis,Beton droogt uit,there are heating needed in the concrete house,Concrete dries out,0,c,Beton;Field2
moet de verwarminstallatie niet teveel gebruikt worden anders krimpt het gebouw,Beton droogt uit,the heating system must not be used too much otherwise the building shrinks,Concrete dries out,3,g,Beton;Field2
hitte heeft invloed op beton,Beton droogt uit,Heat affects concrete,Concrete dries out,0,c,Beton;Field2
verwarming bij beton,Beton droogt uit,heating in concrete,Concrete dries out,1,g,Beton;Field2
